"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"CT02 - Validar mensagem de email já cadastrado - Teste Negativo","153","cadastroDeUsuarioMessageEmailTest()","","2026-03-18","failed","2026-03-18","","qa.reinaldo.tests.CadastroBasicoTest","qa.reinaldo.tests.CadastroBasicoTest","cadastroDeUsuarioMessageEmailTest"
"CT01 - Validar o cadastro realizado com sucesso - Teste Positivo","791","cadastroDeUsuarioTest()","","2026-03-18","passed","2026-03-18","","qa.reinaldo.tests.CadastroBasicoTest","qa.reinaldo.tests.CadastroBasicoTest","cadastroDeUsuarioTest"
"CT03 - Realizar a listagem de usuários cadastros - Teste Positivo","2914","listar_novo_usuario_cadastrado()","","2026-03-18","failed","2026-03-18","","qa.reinaldo.tests.CadastroBasicoTest","qa.reinaldo.tests.CadastroBasicoTest","listar_novo_usuario_cadastrado"
"CT03 - Realizar a listagem de usuários cadastros - Teste Positivo","430","validar_json_schema_do_cadastrado()","","2026-03-18","passed","2026-03-18","","qa.reinaldo.tests.CadastroBasicoTest","qa.reinaldo.tests.CadastroBasicoTest","validar_json_schema_do_cadastrado"
